size,threads,percent_fill,time
4,1,4,0.00384929
4,1,4,0.00173087
4,1,4,0.00156791
4,1,4,0.00143629
4,1,4,0.00155495
4,1,4,0.00141023
4,1,4,0.00190424
4,1,4,0.00175336
4,1,4,0.00156617
4,1,4,0.00162432
4,1,4,0.00213437
4,1,4,0.00174345
4,1,4,0.00328701
4,1,4,0.00225573
4,1,4,0.00127965
4,1,4,0.00208823
4,1,4,0.00182873
4,1,4,0.00176361
4,1,4,0.00318999
4,1,4,0.00145958
4,1,4,0.0013696
4,1,4,0.000856252
4,1,4,0.00125726
4,1,4,0.00109519
4,1,4,0.000726992
4,1,4,0.00125966
4,1,4,0.00150695
4,1,4,0.000930337
4,1,4,0.00142749
4,1,4,0.00137257
4,1,4,0.00102266
4,1,4,0.002198
4,1,4,0.00182634
4,1,4,0.00246772
4,1,4,0.0017812
4,1,4,0.00137365
4,1,4,0.00106054
4,1,4,0.00154986
4,1,4,0.00107672
4,1,4,0.00119008
4,1,4,0.00149734
4,1,4,0.00134075
4,1,4,0.000999093
4,1,4,0.00123093
4,1,4,0.00129482
4,1,4,0.00132934
4,1,4,0.00118204
4,1,4,0.00112074
4,1,4,0.00115076
4,1,4,0.00084332
4,1,4,0.00202817
4,1,4,0.0013144
4,1,4,0.000886112
4,1,4,0.00141364
4,1,4,0.000722203
4,1,4,0.000719264
4,1,4,0.00324998
4,1,4,0.000906138
4,1,4,0.00151742
4,1,4,0.00160658
4,1,4,0.00132843
4,1,4,0.00214412
4,1,4,0.00116936
4,1,4,0.00159977
4,1,4,0.00145968
4,1,4,0.00109954
4,1,4,0.00114792
4,1,4,0.00111352
4,1,4,0.00134028
4,1,4,0.00144057
4,1,4,0.00139967
4,1,4,0.000921503
4,1,4,0.00188793
4,1,4,0.00340417
4,1,4,0.00119271
4,1,4,0.00212376
4,1,4,0.000985701
4,1,4,0.000972111
4,1,4,0.00191655
4,1,4,0.00094928
4,1,4,0.00129277
4,1,4,0.00173936
4,1,4,0.00237308
4,1,4,0.00138491
4,1,4,0.00235578
4,1,4,0.00358023
4,1,4,0.00304773
4,1,4,0.00146285
4,1,4,0.00138013
4,1,4,0.0020058
4,1,4,0.00114665
4,1,4,0.0023515
4,1,4,0.00221225
4,1,4,0.00120089
4,1,4,0.00152211
4,1,4,0.0016175
4,1,4,0.00116309
4,1,4,0.000857273
4,1,4,0.00405419
4,1,4,0.00113885
